ticker,sector,prob_breakeven,end,fcf_operativo,burn_rate,retained_earnings,razones_favor,razones_contra
WS,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",0.6558965151502327,2025-11-30,-29600000.0,29600000.0,203500000.0,"capex (+0.132), ppe_neto (+0.103), retained_earnings (+0.082)","gastos_sga (-0.050), recompra_acciones (-0.037), burn_rate_cambio_pct (-0.031)"
FEIM,Instruments For Meas & Testing of  Electricity & Elec Signals,0.6555986711314572,2026-01-31,-1417000.0,1417000.0,7661000.0,"retained_earnings (+0.138), utilidad_operativa (+0.136), cambio_inventario (+0.082)","ppe_neto (-0.061), capex (-0.057), pasivos_corrientes (-0.042)"
GEF,"Metal Shipping Barrels, Drums, Kegs & Pails",0.6553871627153269,2025-12-31,-24400000.0,24400000.0,3337100000.0,"fcf_inversor (+0.120), retained_earnings (+0.089), utilidad_operativa (+0.086)","capex (-0.094), gastos_sga (-0.083), caja (-0.030)"
CAL,"Footwear, (No Rubber)",0.6519076117583391,2025-11-01,-1192000.0,1192000.0,446280000.0,"utilidad_operativa (+0.086), retained_earnings (+0.080), cambio_inventario (+0.057)","capex (-0.083), gastos_sga (-0.043), recompra_acciones (-0.039)"
ELA,Retail-Jewelry Stores,0.6486898860222112,2025-12-31,-3545544.0,3545544.0,25381380.0,"retained_earnings (+0.154), utilidad_operativa (+0.153), utilidad_neta (+0.104)","pasivos_corrientes (-0.075), capex (-0.056), ppe_neto (-0.051)"
ACLS,"Special Industry Machinery, NEC",0.6476187940340417,2025-12-31,-6567000.0,6567000.0,488771000.0,"retained_earnings (+0.110), utilidad_operativa (+0.083), utilidad_bruta (+0.065)","capex (-0.052), gastos_id (-0.046), ppe_neto (-0.046)"
FRD,"Steel Works, Blast Furnaces & Rolling & Finishing Mills",0.6471024754788974,2025-12-31,-4748000.0,4748000.0,110712000.0,"retained_earnings (+0.127), utilidad_operativa (+0.111), utilidad_neta (+0.086)","capex (-0.091), recompra_acciones (-0.050), fcf_inversor (-0.032)"
PAMT,Trucking (No Local),0.6466309447161487,2025-12-31,-5807000.0,5807000.0,226753000.0,"retained_earnings (+0.143), ppe_neto (+0.108), pasivos_corrientes (+0.090)","capex (-0.141), recompra_acciones (-0.062), fcf_inversor (-0.034)"
LAKE,"Orthopedic, Prosthetic & Surgical Appliances & Supplies",0.6450033440912857,2025-10-31,-5096000.0,5096000.0,30360000.0,"retained_earnings (+0.210), cambio_inventario (+0.093), capex (+0.076)","ppe_neto (-0.053), recompra_acciones (-0.048), utilidad_operativa (-0.025)"
KALU,Rolling Drawing & Extruding of  Nonferrous Metals,0.6442190780342558,2025-12-31,-20600000.0,20600000.0,127100000.0,"ppe_neto (+0.140), retained_earnings (+0.094), utilidad_operativa (+0.085)","cambio_inventario (-0.075), capex (-0.041), ratio_deuda (-0.030)"
AIR,Aircraft & Parts,0.644204112463513,2025-11-30,-34700000.0,34700000.0,1038400000.0,"retained_earnings (+0.113), cambio_inventario (+0.091), ppe_neto (+0.071)","recompra_acciones (-0.044), gastos_sga (-0.043), fcf_inversor (-0.027)"
