ticker,sector,end,Y,ano_test,prob_breakeven
LOVE,Retail-Furniture Stores,2018-08-05,0.0,2018,0.23695413632085272
LOVE,Retail-Furniture Stores,2018-11-04,0.0,2018,0.4609749828029165
LPG,Deep Sea Foreign Transportation of  Freight,2018-06-30,0.0,2018,0.6351880846792337
LPG,Deep Sea Foreign Transportation of  Freight,2018-09-30,1.0,2018,0.6965368830646517
LQDT,"Services-Business Services, NEC",2018-06-30,0.0,2018,0.495024222783633
LQDT,"Services-Business Services, NEC",2018-09-30,0.0,2018,0.5363253084892201
LQDT,"Services-Business Services, NEC",2018-12-31,0.0,2018,0.45900679595484395
LRMR,Pharmaceutical Preparations,2018-03-31,0.0,2018,0.1354018299798017
LRMR,Pharmaceutical Preparations,2018-09-30,0.0,2018,0.1408849872386803
LRMR,Pharmaceutical Preparations,2018-12-31,0.0,2018,0.103207008928068
LRN,Services-Educational Services,2018-09-30,0.0,2018,0.45386460659485317
LRN,Services-Educational Services,2018-12-31,0.0,2018,0.7248460980692959
LSCC,Semiconductors & Related Devices,2018-06-30,1.0,2018,0.6528850203590311
LSTR,Trucking (No Local),2018-06-30,1.0,2018,0.8116372493587969
LTBR,Industrial Inorganic Chemicals,2018-03-31,0.0,2018,0.08657701320032977
LTBR,Industrial Inorganic Chemicals,2018-06-30,0.0,2018,0.10477900725922865
LTBR,Industrial Inorganic Chemicals,2018-09-30,0.0,2018,0.12717522943876292
LTBR,Industrial Inorganic Chemicals,2018-12-31,0.0,2018,0.09808838762824984
LUMN,Telephone Communications (No Radiotelephone),2018-06-30,1.0,2018,0.8258112300124392
LUNG,Surgical & Medical Instruments & Apparatus,2018-12-31,0.0,2018,0.22007767827293667
LW,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",2018-11-25,1.0,2018,0.7297290795077066
LXFR,Industrial Inorganic Chemicals,2018-07-01,0.0,2018,0.7409627706588251
LYFT,"Services-Business Services, NEC",2018-03-31,0.0,2018,0.3283054478978412
LYFT,"Services-Business Services, NEC",2018-09-30,0.0,2018,0.3767167491687725
LYFT,"Services-Business Services, NEC",2018-12-31,1.0,2018,0.5451015626090768
LZB,Household Furniture,2018-10-27,1.0,2018,0.8902393224093867
M,Retail-Department Stores,2018-08-04,0.0,2018,0.6878530392882065
M,Retail-Department Stores,2018-11-03,0.0,2018,0.6252441761785192
MAGN,Paper Mills,2018-03-31,0.0,2018,0.6231418369832862
MAGN,Paper Mills,2018-06-30,0.0,2018,0.7694328642339352
MAGN,Paper Mills,2018-09-30,1.0,2018,0.542997451328822
MAN,Services-Help Supply Services,2018-03-31,1.0,2018,0.6699730651244467
MAN,Services-Help Supply Services,2018-06-30,1.0,2018,0.775579455275731
MANH,Services-Prepackaged Software,2018-06-30,1.0,2018,0.7440883819523636
MAT,Dolls & Stuffed Toys,2018-03-31,0.0,2018,0.2488997557926595
MAT,Dolls & Stuffed Toys,2018-06-30,0.0,2018,0.5532814432708426
MAT,Dolls & Stuffed Toys,2018-09-30,0.0,2018,0.3340084157894338
MATV,Paper Mills,2018-06-30,1.0,2018,0.8434832191477286
