nombre,retorno_acumulado,retorno_anualizado,volatilidad_anual,sharpe,sortino,max_drawdown
Portafolio (decil superior),1.3016669236915677,0.11562595784689222,0.20912590944283635,0.43813776155717216,0.6611519980218694,-0.31971347707732484
Benchmark (resto del universo),1.4266078683360823,0.1291840218513397,0.2438775965704251,0.4312984190860904,0.6749004900829333,-0.41085095141473243
