ticker,sector,end,Y,ano_test,prob_breakeven_oof
PSN,Services-Computer Integrated Systems Design,2021-06-30,0.0,2021,0.8464460643221537
PSTG,Computer Storage Devices,2021-08-01,1.0,2021,0.8608060131017169
QBTS,Services-Computer Processing & Data Preparation,2021-09-30,0.0,2021,0.21258296152230982
QBTS,Services-Computer Processing & Data Preparation,2021-12-31,0.0,2021,0.3050325126187584
QLYS,Services-Prepackaged Software,2021-06-30,1.0,2021,0.9473423515319515
QRVO,Semiconductors & Related Devices,2021-10-02,1.0,2021,0.8636592051928242
QTWO,Services-Prepackaged Software,2021-03-31,1.0,2021,0.6309324643986278
QTWO,Services-Prepackaged Software,2021-09-30,0.0,2021,0.5935025628935193
QUBT,Services-Prepackaged Software,2021-03-31,0.0,2021,0.20542001364236634
QUBT,Services-Prepackaged Software,2021-09-30,0.0,2021,0.19889783728852897
