cik,nombre,sic,sic_descripcion,ticker,bolsa
1990354,Waystar Holding Corp.,7373.0,Services-Computer Integrated Systems Design,WAY,Nasdaq
1516513,"Doximity, Inc.",7371.0,Services-Computer Programming Services,DOCS,NYSE
1039065,OSI SYSTEMS INC,3674.0,Semiconductors & Related Devices,OSIS,Nasdaq
1005284,UNIVERSAL DISPLAY CORP \PA\,3670.0,Electronic Components & Accessories,OLED,Nasdaq
1851003,Zeta Global Holdings Corp.,7372.0,Services-Prepackaged Software,ZETA,NYSE
1571123,Science Applications International Corp,7373.0,Services-Computer Integrated Systems Design,SAIC,Nasdaq
1786352,"BILL Holdings, Inc.",7372.0,Services-Prepackaged Software,BILL,NYSE
935036,"ACI WORLDWIDE, INC.",7372.0,Services-Prepackaged Software,ACIW,Nasdaq
1517228,"Vistance Networks, Inc.",3663.0,Radio & Tv Broadcasting & Communications Equipment,VISN,Nasdaq
1124796,"NLIGHT, INC.",3674.0,Semiconductors & Related Devices,LASR,Nasdaq
1818201,CCC Intelligent Solutions Holdings Inc.,7372.0,Services-Prepackaged Software,CCC,Nasdaq
1653482,Gitlab Inc.,7372.0,Services-Prepackaged Software,GTLB,Nasdaq
1517413,"Fastly, Inc.",7372.0,Services-Prepackaged Software,FSLY,Nasdaq
1745431,StoneCo Ltd.,7374.0,Services-Computer Processing & Data Preparation,STNE,Nasdaq
1169561,COMMVAULT SYSTEMS INC,7372.0,Services-Prepackaged Software,CVLT,Nasdaq
1445305,WORKIVA INC,7372.0,Services-Prepackaged Software,WK,NYSE
1372612,BOX INC,7372.0,Services-Prepackaged Software,BOX,NYSE
56978,KULICKE & SOFFA INDUSTRIES INC,3674.0,Semiconductors & Related Devices,KLIC,Nasdaq
1107843,"QUALYS, INC.",7372.0,Services-Prepackaged Software,QLYS,Nasdaq
1581760,"Life360, Inc.",7374.0,Services-Computer Processing & Data Preparation,LIF,Nasdaq
2054696,NIQ Global Intelligence plc,7370.0,"Services-Computer Programming, Data Processing, Etc.",NIQ,NYSE
1840856,"SOUNDHOUND AI, INC.",7372.0,Services-Prepackaged Software,SOUN,Nasdaq
1384905,"RingCentral, Inc.",7374.0,Services-Computer Processing & Data Preparation,RNG,NYSE
1974138,NCR Atleos Corp,3578.0,Calculating & Accounting Machines (No Electronic Computers),NATL,NYSE
1494259,"CarGurus, Inc.",7374.0,Services-Computer Processing & Data Preparation,CARG,Nasdaq
1410384,"Q2 Holdings, Inc.",7372.0,Services-Prepackaged Software,QTWO,NYSE
29002,DIODES INC /DEL/,3674.0,Semiconductors & Related Devices,DIOD,Nasdaq
1114995,IMPINJ INC,3679.0,"Electronic Components, NEC",PI,Nasdaq
1800227,IAC Inc.,7370.0,"Services-Computer Programming, Data Processing, Etc.",IAC,Nasdaq
817720,SYNAPTICS Inc,3674.0,Semiconductors & Related Devices,SYNA,Nasdaq
1867072,"Kyndryl Holdings, Inc.",7373.0,Services-Computer Integrated Systems Design,KD,NYSE
1361113,VARONIS SYSTEMS INC,7372.0,Services-Prepackaged Software,VRNS,Nasdaq
1712807,PagSeguro Digital Ltd.,7374.0,Services-Computer Processing & Data Preparation,PAGS,NYSE
1849635,Trump Media & Technology Group Corp.,7370.0,"Services-Computer Programming, Data Processing, Etc.",DJT,Nasdaq
1275014,"Ultra Clean Holdings, Inc.",3674.0,Semiconductors & Related Devices,UCTT,Nasdaq
833640,POWER INTEGRATIONS INC,3674.0,Semiconductors & Related Devices,POWI,Nasdaq
28823,"DIEBOLD NIXDORF, Inc",3578.0,Calculating & Accounting Machines (No Electronic Computers),DBD,NYSE
816761,TERADATA CORP /DE/,7372.0,Services-Prepackaged Software,TDC,NYSE
729580,BEL FUSE INC /NJ,3677.0,"Electronic Coils, Transformers & Other Inductors",BELFA,Nasdaq
1660280,"Tenable Holdings, Inc.",7372.0,Services-Prepackaged Software,TENB,Nasdaq
103730,VISHAY INTERTECHNOLOGY INC,3670.0,Electronic Components & Accessories,VSH,NYSE
1676238,"Braze, Inc.",7372.0,Services-Prepackaged Software,BRZE,Nasdaq
1820144,Grindr Inc.,7370.0,"Services-Computer Programming, Data Processing, Etc.",GRND,NYSE
1459200,"Alarm.com Holdings, Inc.",7372.0,Services-Prepackaged Software,ALRM,Nasdaq
1639723,"Navan, Inc.",7372.0,Services-Prepackaged Software,NAVN,Nasdaq
1005757,CSG SYSTEMS INTERNATIONAL INC,7374.0,Services-Computer Processing & Data Preparation,CSGS,Nasdaq
1092699,SPS COMMERCE INC,7372.0,Services-Prepackaged Software,SPSC,Nasdaq
1544522,Freshworks Inc.,7372.0,Services-Prepackaged Software,FRSH,Nasdaq
1666134,"BLACKLINE, INC.",7372.0,Services-Prepackaged Software,BL,Nasdaq
1821769,Navitas Semiconductor Corp,3674.0,Semiconductors & Related Devices,NVTS,Nasdaq
1280263,AMBARELLA INC,3674.0,Semiconductors & Related Devices,AMBA,Nasdaq
1777921,"AvePoint, Inc.",7372.0,Services-Prepackaged Software,AVPT,Nasdaq
1078075,NETSCOUT SYSTEMS INC,7373.0,Services-Computer Integrated Systems Design,NTCT,Nasdaq
1806837,"Vertex, Inc.",7372.0,Services-Prepackaged Software,VERX,Nasdaq
1280058,BLACKBAUD INC,7372.0,Services-Prepackaged Software,BLKB,Nasdaq
1565687,"Intapp, Inc.",7372.0,Services-Prepackaged Software,INTA,Nasdaq
1688568,DXC Technology Co,7374.0,Services-Computer Processing & Data Preparation,DXC,NYSE
810136,PHOTRONICS INC,3674.0,Semiconductors & Related Devices,PLAB,Nasdaq
748268,"Red Cat Holdings, Inc.",7372.0,Services-Prepackaged Software,RCAT,Nasdaq
1078271,EXTREME NETWORKS INC,3576.0,Computer Communications Equipment,EXTR,Nasdaq
1022408,EPLUS INC,5045.0,Wholesale-Computers & Peripheral Equipment & Software,PLUS,Nasdaq
1557860,Globant S.A.,7374.0,Services-Computer Processing & Data Preparation,GLOB,NYSE
78749,AGILYSYS INC,7373.0,Services-Computer Integrated Systems Design,AGYS,Nasdaq
1559865,"EVERTEC, Inc.",7374.0,Services-Computer Processing & Data Preparation,EVTC,NYSE
854775,DIGI INTERNATIONAL INC,3576.0,Computer Communications Equipment,DGII,Nasdaq
1529274,"ALKAMI TECHNOLOGY, INC.",7372.0,Services-Prepackaged Software,ALKT,Nasdaq
1441683,APPIAN CORP,7372.0,Services-Prepackaged Software,APPN,Nasdaq
1836981,"BigBear.ai Holdings, Inc.",7372.0,Services-Prepackaged Software,BBAI,NYSE
1210677,FIRST ADVANTAGE CORP,7374.0,Services-Computer Processing & Data Preparation,FA,Nasdaq
1830081,Rumble Inc.,7370.0,"Services-Computer Programming, Data Processing, Etc.",RUM,Nasdaq
1853145,EverCommerce Inc.,7372.0,Services-Prepackaged Software,EVCM,Nasdaq
1831840,"SEMrush Holdings, Inc.",7372.0,Services-Prepackaged Software,SEMR,NYSE
1794515,ZoomInfo Technologies Inc.,7372.0,Services-Prepackaged Software,GTM,Nasdaq
1595974,"MAGNITE, INC.",7370.0,"Services-Computer Programming, Data Processing, Etc.",MGNI,Nasdaq
733269,"LiveRamp Holdings, Inc.",7374.0,Services-Computer Processing & Data Preparation,RAMP,NYSE
1522540,"Marqeta, Inc.",7372.0,Services-Prepackaged Software,MQ,Nasdaq
1902733,"nCino, Inc.",7372.0,Services-Prepackaged Software,NCNO,Nasdaq
1758009,Quantum Computing Inc.,7372.0,Services-Prepackaged Software,QUBT,Nasdaq
1992243,T1 Energy Inc.,3674.0,Semiconductors & Related Devices,TE,NYSE
1652535,"ICHOR HOLDINGS, LTD.",3674.0,Semiconductors & Related Devices,ICHR,Nasdaq
1764046,CLARIVATE PLC,7374.0,Services-Computer Processing & Data Preparation,CLVT,NYSE
1477720,"Asana, Inc.",7372.0,Services-Prepackaged Software,ASAN,NYSE
1819928,"DoubleVerify Holdings, Inc.",7370.0,"Services-Computer Programming, Data Processing, Etc.",DV,NYSE
1627475,"UPWORK, INC",7374.0,Services-Computer Processing & Data Preparation,UPWK,Nasdaq
